de_grid_id,city_name,expected_parcels
1kmN3334E4247,"Bremen, Stadt",87957.01999999999
1kmN3334E4248,"Bremen, Stadt",12393.96
1kmN3334E4249,"Bremen, Stadt",221.73000000000002
1kmN3335E4232,"Bremen, Stadt",2123.4500000000003
1kmN3335E4233,"Bremen, Stadt",5937.340000000001
1kmN3335E4234,"Bremen, Stadt",1674.69
1kmN3335E4236,"Bremen, Stadt",1614.69
1kmN3335E4237,"Bremen, Stadt",173125.64
1kmN3335E4238,"Bremen, Stadt",111153.71000000002
1kmN3335E4240,"Bremen, Stadt",85.14
1kmN3335E4241,"Bremen, Stadt",277.65000000000003
1kmN3335E4245,"Bremen, Stadt",1456.37
1kmN3335E4246,"Bremen, Stadt",37386.09
1kmN3335E4247,"Bremen, Stadt",87282.08
1kmN3335E4248,"Bremen, Stadt",27588.08
1kmN3335E4249,"Bremen, Stadt",271.68
1kmN3335E4252,"Bremen, Stadt",465.51
1kmN3336E4230,"Bremen, Stadt",92.55000000000001
1kmN3336E4231,"Bremen, Stadt",161.95
1kmN3336E4235,"Bremen, Stadt",29094.42
1kmN3336E4236,"Bremen, Stadt",127953.10999999999
1kmN3336E4237,"Bremen, Stadt",80972.35
1kmN3336E4244,"Bremen, Stadt",1140.09
1kmN3336E4245,"Bremen, Stadt",441.57000000000005
1kmN3336E4246,"Bremen, Stadt",11119.15
1kmN3336E4247,"Bremen, Stadt",17928.48
1kmN3336E4248,"Bremen, Stadt",6229.630000000001
1kmN3336E4249,"Bremen, Stadt",751.98
1kmN3336E4250,"Bremen, Stadt",501.0
1kmN3336E4251,"Bremen, Stadt",496.20000000000005
1kmN3336E4252,"Bremen, Stadt",2126.47
1kmN3337E4229,"Bremen, Stadt",332.07
1kmN3337E4230,"Bremen, Stadt",136.59
1kmN3337E4234,"Bremen, Stadt",6047.610000000001
1kmN3337E4235,"Bremen, Stadt",18387.29
1kmN3337E4236,"Bremen, Stadt",38004.18
1kmN3337E4237,"Bremen, Stadt",914.0699999999999
1kmN3337E4243,"Bremen, Stadt",174.51
1kmN3337E4244,"Bremen, Stadt",1017.39
1kmN3337E4247,"Bremen, Stadt",2114.7
1kmN3337E4248,"Bremen, Stadt",1982.21
1kmN3337E4249,"Bremen, Stadt",1696.94
1kmN3337E4250,"Bremen, Stadt",1004.0999999999999
1kmN3337E4251,"Bremen, Stadt",255.42
1kmN3338E4229,"Bremen, Stadt",174.51
1kmN3338E4234,"Bremen, Stadt",41375.56
1kmN3338E4235,"Bremen, Stadt",52569.58
1kmN3338E4239,"Bremen, Stadt",85.14
1kmN3338E4243,"Bremen, Stadt",838.81
1kmN3338E4250,"Bremen, Stadt",651.12
1kmN3339E4229,"Bremen, Stadt",385.99
1kmN3339E4230,"Bremen, Stadt",1455.8400000000001
1kmN3339E4231,"Bremen, Stadt",1221.8700000000001
1kmN3339E4232,"Bremen, Stadt",938.64
1kmN3339E4233,"Bremen, Stadt",5238.87
1kmN3339E4234,"Bremen, Stadt",45569.2
1kmN3339E4235,"Bremen, Stadt",19284.62
1kmN3339E4238,"Bremen, Stadt",314.07
1kmN3339E4239,"Bremen, Stadt",406.83000000000004
1kmN3339E4240,"Bremen, Stadt",367.86
1kmN3339E4241,"Bremen, Stadt",182.31
1kmN3339E4242,"Bremen, Stadt",541.9200000000001
1kmN3339E4243,"Bremen, Stadt",906.3
1kmN3340E4228,"Bremen, Stadt",2059.25
1kmN3340E4229,"Bremen, Stadt",79517.07
1kmN3340E4230,"Bremen, Stadt",66056.73999999999
1kmN3340E4231,"Bremen, Stadt",80929.29999999999
1kmN3340E4232,"Bremen, Stadt",23494.4
1kmN3340E4233,"Bremen, Stadt",33622.479999999996
1kmN3340E4234,"Bremen, Stadt",42811.46
1kmN3340E4235,"Bremen, Stadt",3052.14
1kmN3340E4236,"Bremen, Stadt",1835.7599999999998
1kmN3340E4237,"Bremen, Stadt",318.90000000000003
1kmN3340E4238,"Bremen, Stadt",277.8
1kmN3340E4239,"Bremen, Stadt",189.51
1kmN3340E4240,"Bremen, Stadt",119.16000000000001
1kmN3340E4241,"Bremen, Stadt",92.55000000000001
1kmN3341E4226,"Bremen, Stadt",2123.4
1kmN3341E4227,"Bremen, Stadt",42057.58
1kmN3341E4228,"Bremen, Stadt",112302.6
1kmN3341E4229,"Bremen, Stadt",67649.1
1kmN3341E4230,"Bremen, Stadt",68646.45000000001
1kmN3341E4231,"Bremen, Stadt",66839.72
1kmN3341E4232,"Bremen, Stadt",62172.85
1kmN3341E4233,"Bremen, Stadt",89521.13
1kmN3341E4235,"Bremen, Stadt",132352.56
1kmN3341E4236,"Bremen, Stadt",3920.2
1kmN3342E4224,"Bremen, Stadt",33390.130000000005
1kmN3342E4225,"Bremen, Stadt",82708.92
1kmN3342E4226,"Bremen, Stadt",14729.939999999999
1kmN3342E4227,"Bremen, Stadt",103497.6
1kmN3342E4228,"Bremen, Stadt",99518.31
1kmN3342E4229,"Bremen, Stadt",105033.95999999999
1kmN3342E4230,"Bremen, Stadt",36636.39
1kmN3342E4231,"Bremen, Stadt",2151.42
1kmN3342E4233,"Bremen, Stadt",25619.699999999997
1kmN3342E4234,"Bremen, Stadt",14319.259999999998
1kmN3342E4235,"Bremen, Stadt",28389.93
1kmN3342E4236,"Bremen, Stadt",763.2099999999999
1kmN3343E4222,"Bremen, Stadt",3986.1800000000003
1kmN3343E4223,"Bremen, Stadt",59431.42
1kmN3343E4224,"Bremen, Stadt",77908.72
1kmN3343E4225,"Bremen, Stadt",103809.87999999999
1kmN3343E4226,"Bremen, Stadt",951.9100000000001
1kmN3343E4227,"Bremen, Stadt",293.68
1kmN3343E4228,"Bremen, Stadt",22293.5
1kmN3343E4229,"Bremen, Stadt",49172.26
1kmN3343E4230,"Bremen, Stadt",18190.96
1kmN3344E4222,"Bremen, Stadt",30861.120000000003
1kmN3344E4223,"Bremen, Stadt",29348.14
1kmN3344E4224,"Bremen, Stadt",61770.130000000005
1kmN3344E4225,"Bremen, Stadt",129093.33
1kmN3344E4226,"Bremen, Stadt",14901.640000000001
1kmN3344E4228,"Bremen, Stadt",1821.9
1kmN3345E4221,"Bremen, Stadt",25374.989999999998
1kmN3345E4222,"Bremen, Stadt",19215.14
1kmN3345E4223,"Bremen, Stadt",4422.31
1kmN3345E4225,"Bremen, Stadt",26079.690000000002
1kmN3345E4226,"Bremen, Stadt",41961.04
1kmN3345E4227,"Bremen, Stadt",85.14
1kmN3346E4221,"Bremen, Stadt",18028.01
1kmN3346E4226,"Bremen, Stadt",15138.2
1kmN3346E4227,"Bremen, Stadt",922.88
1kmN3347E4221,"Bremen, Stadt",18166.07
